date,time,code,title,room,location,hours
07/05/2024,9:00 A.M,FINA6090,Derivatives,MSR1&2,MANAGEMENT STUDIES,3 hours
07/05/2024,9:00 A.M,GEMA6003,Marketing Management (Domestic & International),MSR1&2,MANAGEMENT STUDIES,3 hours
07/05/2024,1:00 P.M.,GOVT2047,Principles of Public International,PLU,PHYSICS,2 hours
07/05/2024,1:00 P.M.,HNDT2009,Advanced Nutrition,PLD,PHYSICS,2 hours
07/05/2024,9:00 A.M,IMGT6010,International Marketing,MSR1&2,MANAGEMENT STUDIES,3 hours
07/05/2024,4:00 P.M.,LAW3840,Alternative Disputes Resolution,LR7,CLICO,2 hours
07/05/2024,9:00 A.M,LITS1002,Introduction to Prose Fiction,LR4,ROY MARSHALL,2 hours
07/05/2024,1:00 P.M.,MENG6706,Asset Reliability Management (ST. AUGUSTINE STUDENTS ONLY),PLD,PHYSICS,-
07/05/2024,1:00 P.M.,METE3310,The Tropics and Tropical Weather Systems,PLD,PHYSICS,2 hours
07/05/2024,4:00 P.M.,MGMT3038,Cross National Management,LR8,CLICO,2 hours
07/05/2024,4:00 P.M.,MGMT3090,Entrepreneurial Finance,LR8,CLICO,2 hours
07/05/2024,4:00 P.M.,MICR3267,Essential Virology,LR9,CLICO,2 hours
07/05/2024,1:00 P.M.,PHYS2415,Theory of Classical Mechanics,PLD,PHYSICS,2 hours
07/05/2024,4:00 P.M.,PSYC1004,Introduction to Social Psychology (ALFRED - HALL),LR1&2,ROY MARSHALL,2 hours
07/05/2024,4:00 P.M.,PSYC1004,Introduction to Social Psychology (HARDING - PAYNE),LR3,ROY MARSHALL,2 hours
07/05/2024,4:00 P.M.,PSYC1004,Introduction to Social Psychology (PERSAD - YEARWOOD),LR4,ROY MARSHALL,2 hours
07/05/2024,4:00 P.M.,PSYC2018,Social Psychology of Sports and Exercise,LR9,CLICO,2 hours
07/05/2024,9:00 A.M,TOUR2001,Caribbean Tourism,LR4,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,ACCT6015,Equity and Fixed Income Securities,MSR1&2,MANAGEMENT STUDIES,3 hours
08/05/2024,1:00 P.M.,BIOC2370,Cell Signals,LR3,ROY MARSHALL,2 hours
08/05/2024,4:00 P.M.,COMP0002,Preliminary Computer Science II,LR1&2,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,ECON1004,Mathematics for Social Sciences II,LR1&2,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,EDME6010,Basics of Programme Evaluation and Quality Assurance,MSR1&2,MANAGEMENT STUDIES,3 hours
08/05/2024,4:00 P.M.,EDTE3404,Issues in Teacher Education,LR1&2,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,EGOV6080,e-Democracy and Access to e-Government,MSR1&2,MANAGEMENT STUDIES,3 hours
08/05/2024,4:00 P.M.,FINA2002,Quantitative Methods for Banking and Finance,LR3,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,FOUN1006,Exposition for Academic Purposes (ADAM - MOUNTER),LR14,SAGICOR,2 hours
08/05/2024,9:00 A.M,FOUN1006,Exposition for Academic Purposes (NASH - YARDE),LR13,SAGICOR,2 hours
08/05/2024,4:00 P.M.,GEND2201,Introduction to Feminist Theories,MSR1&2,MANAGEMENT STUDIES,2 hours
08/05/2024,4:00 P.M.,GOVT3049,Caribbean International Politics,MSR1&2,MANAGEMENT STUDIES,2 hours
08/05/2024,1:00 P.M.,HIST3105,Ideas of Liberation in Latin America,LR4,ROY MARSHALL,2 hours
08/05/2024,4:00 P.M.,LAW3165,International Commercial Arbitration,LR4,ROY MARSHALL,2 hours
08/05/2024,1:00 P.M.,MATH1230,Introductory Applied Statistics I,LR4,ROY MARSHALL,2 hours
08/05/2024,4:00 P.M.,METE2120,Physical Meteorology,LR6,CLICO,2 hours
08/05/2024,4:00 P.M.,MGMT3117,Entrepreneurial Growth Strategies,LR6,CLICO,2 hours
08/05/2024,9:00 A.M,MKTG6070,Integrated Marketing Communications,S6,SOCIAL SCIENCES,3 hours
08/05/2024,9:00 A.M,NURS6701,Theoretical Perspectives in Nursing,S6,SOCIAL SCIENCES,3 hours
08/05/2024,4:00 P.M.,PSYC2007,Psychometrics I,LR6,CLICO,2 hours
08/05/2024,9:00 A.M,PSYC6120,Psychometrics II; Personality Testing,S6,SOCIAL SCIENCES,3 hours
08/05/2024,9:00 A.M,SBFI6005,Private Equity,MSR1&2,MANAGEMENT STUDIES,3 hours
08/05/2024,9:00 A.M,SOCI2007,Survey Design and Analysis (ABSALOM - HOWARD),LR3,ROY MARSHALL,2 hours
08/05/2024,9:00 A.M,SOCI2007,Survey Design and Analysis (HOYTE - WILLIAMSON),LR4,ROY MARSHALL,2 hours
08/05/2024,4:00 P.M.,SOCI3013,Social Policy,LR7,CLICO,2 hours
08/05/2024,4:00 P.M.,TOUR2003,Tourism Planning and Development II,LR8,CLICO,2 hours
08/05/2024,9:00 A.M,TOUR6160,Sport Policy and Development,S6,SOCIAL SCIENCES,3 hours
09/05/2024,9:00 A.M,ACCT6017,Quantitative Methods for Management,LR3,ROY MARSHALL,3 hours
09/05/2024,9:00 A.M,AHAC5207,Interventions to Improve Adolescent Health (MONA STUDENTS ONLY),LR6,CLICO,-
09/05/2024,9:00 A.M,CHEM0625,Preliminary Chemistry II,LR1&2,ROY MARSHALL,3 hours
09/05/2024,1:00 P.M,CHEM1130,Introduction to Inorganic Chemistry,LR1&2,ROY MARSHALL,2 hours
09/05/2024,1:00 P.M.,COMP1180,Mathematics for Computer Science I,PLD,PHYSICS,2 hours
09/05/2024,4:00 P.M.,COMP3420,Computer Graphics,LR7,CLICO,2 hours
09/05/2024,4:00 P.M.,ECOL3454,Fisheries Biology,LR7,CLICO,2 hours
09/05/2024,9:00 A.M,ECON2026,Statistical Methods II,LR6,CLICO,2 hours
09/05/2024,9:00 A.M,ECON6031,Macroeconomic Theory,LR1&2,ROY MARSHALL,3 hours
09/05/2024,4:00 P.M.,EDLA2112,The Structure and Nature of Language,LR8,CLICO,2 hours
09/05/2024,1:00 P.M.,ENSC2003,Sustainable Energy Systems,PLU,PHYSICS,2 hours
09/05/2024,9:00 A.M,FINA6030,Quantitative Methods,LR4,ROY MARSHALL,3 hours
09/05/2024,9:00 A.M,FOUN1004,An Introduction to Argument,LR7,CLICO,2 hours
09/05/2024,9:00 A.M,GOVT1011,Introduction to Caribbean Politics,LR14,SAGICOR,2 hours
09/05/2024,1:00 P.M.,GOVT3050,Developed and Developing States,PLU,PHYSICS,2 hours
09/05/2024,4:00 P.M.,HIST3035,Gender & Race in Latin America,LR7,CLICO,2 hours
09/05/2024,4:00 P.M.,HNDT2003,Food Service Management System,LR6,CLICO,2 hours
09/05/2024,9:00 A.M,HRNM0100,Human Resource Management,LR4,ROY MARSHALL,3 hours
09/05/2024,9:00 A.M,INBA6010,Quantitative Business Analysis,LR3,ROY MARSHALL,3 hours
09/05/2024,4:00 P.M.,LAW3140,Law of Corporate Insolvency,LR6,CLICO,2 hours
09/05/2024,9:00 A.M,LAW6530,International Commercial Litigation,LR4,ROY MARSHALL,3 hours
09/05/2024,9:00 A.M,LGSC6005,Strategic Supply Chain Management,LR4,ROY MARSHALL,3 hours
09/05/2024,2:00 P.M.,LIBS6801,Caribbean Libraries and Info. Services (MONA STUDENTS ONLY),S7,SOCIAL SCIENCES,-
09/05/2024,4:00 P.M.,LING1003,Essentials of English Grammar,LR6,CLICO,2 hours
09/05/2024,1:00 P.M.,MATH3545,Linear Algebra 2,LR4,ROY MARSHALL,2 hours
09/05/2024,4:00 P.M.,MGMT3017,Human Resources Management (ALLEYNE - GRIFFITH),LR1&2,ROY MARSHALL,2 hours
09/05/2024,4:00 P.M.,MGMT3017,Human Resources Management (HAREWOOD - NEWMAN),LR3,ROY MARSHALL,2 hours
09/05/2024,4:00 P.M.,MGMT3017,Human Resources Management (NEWTON - WILSON),LR4,ROY MARSHALL,2 hours
09/05/2024,9:00 A.M,MGMT3024,Business Communication,LR11,CLICO,2 hours
09/05/2024,4:00 P.M.,MICR3265,Microbiology of Food,LR9,CLICO,2 hours
09/05/2024,4:00 P.M.,PSYC2020,Psychopathology and Wellbeing,LR8,CLICO,2 hours
09/05/2024,9:00 A.M,PTMT6029,Project Resources Management,LR4,ROY MARSHALL,3 hours
09/05/2024,9:00 A.M,SBCO6208,Quantitative Methods and Statistical,LR3,ROY MARSHALL,3 hours
09/05/2024,4:00 P.M.,SOCI2014,Caribbean Kinship,LR9,CLICO,2 hours
09/05/2024,1:00 P.M.,SPSC1000,Introduction to Human Physiology,LR3,ROY MARSHALL,2 hours
09/05/2024,1:00 P.M.,SPSC3002,Nutritional Manipulation,LR4,ROY MARSHALL,2 hours
09/05/2024,9:00 A.M,THEO2325,Systematic Theology II,LR7,CLICO,2 hours
10/05/2024,9:00 A.M,ACCT6011,Corporate Finance,PLD,PHYSICS,3 hours
10/05/2024,9:00 A.M,BIOL3025,Molecular Plant Pathology,LR3,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,COMS2600,Communication and Caribbean Society,LR3,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,EDSO3102,The Social Context of Education,LR4,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,FINA2004,Portfolio Management I,LR7,CLICO,2 hours
10/05/2024,9:00 A.M,FOUN0100,Fundamentals of Written English,LR1&2,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,GEMA0103,Caribbean Business Environment,MSR1&2,MANAGEMENT STUDIES,3 hours
10/05/2024,9:00 A.M,HRNM0101,Strategic Human Resource Planning,MSR1&2,MANAGEMENT STUDIES,3 hours
10/05/2024,9:00 A.M,HRNM6107,Human Resource Management,S6,SOCIAL SCIENCES,3 hours
10/05/2024,9:00 A.M,LAW2220,Real Property II,LR14,SAGICOR,2 hours
10/05/2024,9:00 A.M,LGSC6011,Pricing & Revenue Management,S6,SOCIAL SCIENCES,3 hours
10/05/2024,9:00 A.M,LING3202,Creole Linguistics,LR4,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,NURS6703,Practice Issues in Managing Nursing,S6,SOCIAL SCIENCES,3 hours
10/05/2024,9:00 A.M,PHYS1210,"Physics III: Electric Fields, Current and Circuits",LR4,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,PTMT6028,Advanced Risk Management,MSR1&2,MANAGEMENT STUDIES,3 hours
10/05/2024,9:00 A.M,SBCO6213,Corporate Finance,PLD,PHYSICS,3 hours
10/05/2024,9:00 A.M,THEO1220,Introduction to Spirituality and Christian Ministry,LR3,ROY MARSHALL,2 hours
10/05/2024,9:00 A.M,TOUR6150,Human Resource Management,S6,SOCIAL SCIENCES,3 hours
