date,time,code,title,hours,location,room
08/05/2024,4:00 P.M.,COMP0002,Preliminary Computer Science II,2 HRS,-,-
08/05/2024,4:00 P.M.,EDTE3404,Issues in Teacher Education,2 HRS,-,-
08/05/2024,4:00 P.M.,FINA2002,"Quantitative Methods for Banking
and Finance",2 HRS,-,-
08/05/2024,4:00 P.M.,GEND2201,"Women's Studies I: An Introduction
to Feminist Theories",2 HRS,-,-
08/05/2024,4:00 P.M.,GOVT3049,Caribbean International Politics,2 HRS,-,-
08/05/2024,4:00 P.M.,LAW3165,"International Commercial
Arbitration",2 HRS,-,-
08/05/2024,4:00 P.M.,METE2120,Physical Meteorology,2 HRS,-,-
08/05/2024,4:00 P.M.,MGMT3117,Entrepreneurial Growth Strategies,2 HRS,-,-
08/05/2024,4:00 P.M.,PSYC2007,Psychometrics I,2 HRS,-,-
08/05/2024,4:00 P.M.,SOCI3013,Social Policy,2 HRS,-,-
08/05/2024,4:00 P.M.,TOUR2003,"Tourism Planning and
Development II",2 HRS,-,-
09/05/2024,9:00 A.M,ACCT6017,"Quantitative Methods for
Management",3 HRS,-,-
09/05/2024,9:00 A.M,CHEM0625,Preliminary Chemistry II,3 HRS,-,-
09/05/2024,9:00 A.M,ECON6031,Macroeconomic Theory,3 HRS,-,-
09/05/2024,9:00 A.M,FINA6030,Quantitative Methods,3 HRS,-,-
09/05/2024,9:00 A.M,HRNM0100,Human Resource Management,3 HRS,-,-
09/05/2024,9:00 A.M,INBA6010,Quantitative Business Analysis,3HRS,-,-
09/05/2024,9:00 A.M,LAW6530,"International Commercial
Litigation",3 HRS,-,-
09/05/2024,9:00 A.M,LGSC6005,"Strategic Supply Chain
Management",3 HRS,-,-
09/05/2024,9:00 A.M,PTMT6029,Project Resources Management,3 HRS,-,-
09/05/2024,9:00 A.M,SBCO6208,"Quantitative Methods and
Statistical",3 HRS,-,-
09/05/2024,9:00 A.M,ECON2026,Statistical Methods II,2 HRS,-,-
09/05/2024,9:00 A.M,FOUN1004,An Introduction to Argument,2 HRS,-,-
09/05/2024,9:00 A.M,GOVT1011,Introduction to Caribbean Politics,2 HRS,-,-
09/05/2024,9:00 A.M,MGMT3024,Business Communication,2 HRS,-,-
09/05/2024,9:00 A.M,THEO2325,Systematic Theology II,2 HRS,-,-
09/05/2024,1:00 P.M,CHEM1130,Introduction to Inorganic Chemistry,2 HRS,-,-
09/05/2024,1:00 P.M.,COMP1180,"Mathematics for Computer Science
I",2 HRS,-,-
09/05/2024,1:00 P.M.,ENSC2003,Sustainable Energy Systems,2 HRS,-,-
09/05/2024,1:00 P.M.,GOVT3050,"Comparative Foreign Policy:
Developed and Developing States",2 HRS,-,-
09/05/2024,1:00 P.M.,MATH3545,Linear Algebra 2,2 HRS,-,-
09/05/2024,1:00 P.M.,SPSC1000,Introduction to Human Physiology,2 HRS,-,-
09/05/2024,1:00 P.M.,SPSC3002,Nutritional Manipulation,2 HRS,-,-
09/05/2024,4:00 P.M.,COMP3420,Computer Graphics,2 HRS,-,-
09/05/2024,4:00 P.M.,ECOL3454,Fisheries Biology,2 HRS,-,-
09/05/2024,4:00 P.M.,EDLA2112,"The Structure and Nature of
Language",2 HRS,-,-
09/05/2024,4:00 P.M.,HIST3035,Gender & Race in Latin America,2 HRS,-,-
09/05/2024,4:00 P.M.,HNDT2003,Food Service Management System,2 HRS,-,-
09/05/2024,4:00 P.M.,LAW3140,Law of Corporate Insolvency,2 HRS,-,-
09/05/2024,4:00 P.M.,LING1003,Essentials of English Grammar,2 HRS,-,-
09/05/2024,4:00 P.M.,MGMT3017,Human Resources Management,2 HRS,-,-
09/05/2024,4:00 P.M.,MICR3265,Microbiology of Food,2 HRS,-,-
09/05/2024,4:00 P.M.,PSYC2020,Psychopathology and Wellbeing,2 HRS,-,-
09/05/2024,4:00 P.M.,SOCI2014,Caribbean Kinship,2 HRS,-,-
10/05/2024,9:00 A.M,ACCT6011,Corporate Finance,3 HRS,-,-
10/05/2024,9:00 A.M,FINA6003,Entrepreneurial Finance,3 HRS,-,-
10/05/2024,9:00 A.M,GEMA0103,Caribbean Business Environment,3 HRS,-,-
10/05/2024,9:00 A.M,HRNM0101,"Strategic Human Resource
Planning",3 HRS,-,-
10/05/2024,9:00 A.M,HRNM6107,Human Resource Management,3 HRS,-,-
10/05/2024,9:00 A.M,LGSC6011,Pricing & Revenue Management,3 HRS,-,-
10/05/2024,9:00 A.M,NURS6703,"Practice Issues in Managing
Nursing",3 HRS,-,-
10/05/2024,9:00 A.M,PTMT6028,Advanced Risk Management,3 HRS,-,-
10/05/2024,9:00 A.M,SBCO6213,Corporate Finance,3 HRS,-,-
10/05/2024,9:00 A.M,TOUR6150,Human Resource Management,3 HRS,-,-
10/05/2024,9:00 A.M,BIOL3025,Molecular Plant Pathology,2 HRS,-,-
10/05/2024,9:00 A.M,COMS2600,"Communication and Caribbean
Society",2 HRS,-,-
10/05/2024,9:00 A.M,EDSO3102,The Social Context of Education,2 HRS,-,-
10/05/2024,9:00 A.M,FINA2004,Portfolio Management I,2 HRS,-,-
10/05/2024,9:00 A.M,FOUN0100,Fundamentals of Written English,2 HRS,-,-
10/05/2024,9:00 A.M,LAW2220,Real Property II,2 HRS,-,-
10/05/2024,9:00 A.M,LING3202,Creole Linguistics,2 HRS,-,-
10/05/2024,9:00 A.M,PHYS1210,"Physics III: Electric Fields, Current
and Circuits",2 HRS,-,-
10/05/2024,9:00 A.M,THEO1220,"Introduction to Spirituality and
Christian Ministry",2 HRS,-,-
